# gost 52290-2004
А	A
Б	B
В	V
Г	G
Д	D
Е	E
Ё	E
Ж	Zh
З	Z
И	I
Й	Y
К	K
Л	L
М	M
Н	N
О	O
П	P
Р	R
С	S
Т	T
У	U
Ф	F
Х	Kh
Ц	Ts
Ч	Ch
Ш	Sh
Щ	Shch
Ъ	'
Ы	Y
Ь	'
Э	E
Ю	Yu
Я	Ya
# ukrainian national 2010
Ґ	G
Є	Ie
І	I
Ї	I
# serbian bgn/pcgn 2005
Ђ	Dj
Ј	J
Љ	Lj
Њ	Nj
Ћ	C
Џ	Dzh
# kazakh bgn/pcgn 1979
Ә	A
Ғ	Gh
Қ	Q
Ң	Ng
Ө	O
Ұ	U
Ү	U
Һ	H
# macedonian bgn/pcgn 2013
Ѓ	G
Ѕ	Dz
Ќ	K
# azerbaijani ungegn 2003
Ҝ	G
Ҹ	C
# belarusian ungegn 2012
Ў	U
# turkmen ungegn 2003
Җ	J
# tajik bgn/pcgn 1994
Ӣ	I
Ӯ	U
Ҳ	H
Ҷ	J
# udmurt bgn/pcgn 2011
Ӝ	Dzh
Ӟ	J
Ӥ	I
Ӧ	O
Ӵ	Tsh
# bashkir bgn/pcgn 2007
Ҙ	Z
Ҡ	Q
Ҫ	S
# moldovan bgn/pcgn 2002
Ӂ	Gi
# ossetian bgn/pcgn 2009
Ӕ	Ae
# komi knab 1994
Ԁ	D
Ԃ	Dj
Ԅ	Zj
Ԇ	Dz
Ԉ	Lj
Ԋ	Nj
Ԍ	Sj
Ԏ	Tj
# khanty knab 1994
Ӓ	A
Ӑ	A
Ӛ	E
Ԯ	L
Ԓ	L
Ӫ	Y
Ӱ	U
Ӄ	Q
Ӈ	Ng
Ӽ	X
# nivkh knab 1994
Ӻ	Xh
Ҥ	Ng
Ӿ	H
# khakass knab 1995
Ӌ	Dzh
# hill mari knab 1994
Ӹ	Y
# non-slavic cyrillic ala-lc 2017
Ӏ	H
## abkhaz
Ҕ	Gh
Ӷ	Gh
Ҽ	Ch
Ҿ	Ch
Ӡ	Dz
Ҟ	Q
Ҩ	W
Ҧ	Ph
Ԥ	Ph
Ҭ	Th
Ҵ	Ts
## chuvash
Ӗ	E
Ԡ	L
Ԣ	N
Ӳ	U
## mordvin
Ԙ	A
Ԕ	Lkh
Ԗ	Rkh
Ӭ	A
# kurdish ala-lc 2012
Ԛ	Q
Ԝ	W
# church slavic ala-lc 2011
Ѥ	Ie
Ѹ	U
Ꙋ	U
Ѿ	Ot
Ѡ	O
Ꙑ	Y
Ѣ	E
Ꙗ	Ia
Ѧ	E
Ѯ	Ks
Ѱ	Ps
Ѳ	F
Ѷ	Y
Ѫ	O
Ѩ	Ie
Ѭ	Io
# romanian cyrillic ala-lc 2014
Ѻ	O
Ѵ	Y
Ꙟ	In
# https://en.wikipedia.org/wiki/Kildin_Sami
# https://doi.org/10.18452/1896
Ҍ	'
Ҋ	Jh
Ӆ	Lh
Ӎ	Mh
Ӊ	Nh
Ҏ	Rh
# https://unicode.org/wg2/docs/n4199.pdf
Ԫ	Dzh
Ԭ	Dch
# https://www.unicode.org/wg2/docs/n3194.pdf
## aleut
Ԟ	Q
## abkhaz
Ꚁ	Dw
Ꚃ	Dzw
Ꚅ	Zhw
Ꚇ	Cch
Ꚉ	Dz
Ꚋ	T
Ꚍ	Tw
Ꚏ	Tsw
Ꚑ	Ts
Ꚓ	Tch
Ꚕ	Hw
Ꚗ	Shw
## letters
Ѽ	O
Ꙁ	Z
Ꙃ	Dz
Ꙅ	Dz
Ꙇ	I
Ꙉ	Dj
Ꙍ	O
Ꙏ	'
Ꙓ	Ie
Ꙕ	Oi
Ꙙ	E
Ꙛ	O
Ꙝ	Ie
Ꙣ	Dg
Ꙥ	Lg
Ꙧ	Mg
Ꙩ	O
Ꙫ	Oo
Ꙭ	Oo
ꙮ	O
# marks
꙳	*
꙯	.
҃	.
҇	.
꙾	'
꙼	'
ꙿ	'
꙽	'
# https://en.wikipedia.org/wiki/Reversed_Tse
# https://unicode.org/L2/L2009/09020r-n3563r-cyrillic-tse.pdf
Ꙡ	Ts
# https://www.unicode.org/wg2/docs/n3974.pdf
Ꚙ	Oo
Ꚛ	O
# https://en.wikipedia.org/wiki/Ye_with_grave
Ѐ	E
# https://en.wikipedia.org/wiki/I_with_grave_(Cyrillic)
Ѝ	I
# https://en.wikipedia.org/wiki/Cyrillic_numerals
҂	1000
҈	100000
҉	1000000
꙰	10000000
꙱	100000000
꙲	1000000000
# https://en.wikipedia.org/wiki/Koppa_(Cyrillic)
Ҁ	Q
# https://en.wikipedia.org/wiki/Reversed_Ze
# http://www.unicode.org/L2/L2005/05080-priest-cyrillic.pdf
Ԑ	A
# https://en.wikipedia.org/wiki/Shha_with_descender
# http://unicode.org/L2/L2008/08182-latin-cyr.pdf
Ԧ	'
# https://en.wikipedia.org/wiki/En_with_left_hook
# https://unicode.org/L2/L2011/11265-cyrillic-orok.pdf
Ԩ	Ny
# https://en.wikipedia.org/wiki/Palatization_mark
҄	
# https://en.wikipedia.org/wiki/Rough_breathing
҅	
# https://en.wikipedia.org/wiki/Smooth_breathing
҆	
# Cyrillic Extended-A
# https://unicode.org/charts/PDF/U2DE0.pdf
## Old Church Slavonic combining letters
ⷠ	б
ⷡ	в
ⷢ	г
ⷣ	д
ⷤ	ж
ⷥ	з
ⷦ	к
ⷧ	л
ⷨ	м
ⷩ	н
ⷪ	о
ⷫ	п
ⷬ	р
ⷭ	с
ⷮ	т
ⷯ	х
ⷰ	ц
ⷱ	ч
ⷲ	ш
ⷳ	щ
ⷴ	ѳ
ⷵ	ст
ⷶ	а
ⷷ	е
ⷸ	ꙉ
ⷹ	ꙋ
ⷺ	ѣ
ⷻ	ю
ⷼ	ꙗ
ⷽ	ѧ
ⷾ	ѫ
ⷿ	ѭ
# Cyrillic Extended-B
# https://unicode.org/charts/PDF/UA640.pdf
## Combining marks for Old Cyrillic
ꙴ	є
ꙵ	и
ꙶ	ї
ꙷ	у
ꙸ	ъ
ꙹ	ы
ꙺ	ь
ꙻ	ѡ
ꚞ	ф
ꚟ	ѥ
# Cyrillic Extended-D
# https://unicode.org/charts/PDF/U1E030.pdf
## Diacritical mark
𞂏	і
