# https://unicode.org/charts/PDF/U11580.pdf
# https://unicode.org/wg2/docs/n4294.pdf
#
# Independent vowels
𑖀	a
𑖁	a
𑖂	i
𑖃	i
𑖄	u
𑖅	u
𑖆	r
𑖇	r
𑖈	l
𑖉	l
𑖊	e
𑖋	ai
𑖌	o
𑖍	au
# Consonants
𑖎	k
𑖏	kh
𑖐	g
𑖑	gh
𑖒	n
𑖓	c
𑖔	ch
𑖕	j
𑖖	jh
𑖗	n
𑖘	t
𑖙	th
𑖚	d
𑖛	dh
𑖜	n
𑖝	t
𑖞	th
𑖟	d
𑖠	dh
𑖡	n
𑖢	p
𑖣	ph
𑖤	b
𑖥	bh
𑖦	m
𑖧	y
𑖨	r
𑖩	l
𑖪	v
𑖫	s
𑖬	s
𑖭	s
𑖮	h
# Dependent vowel signs
𑖯	a
𑖰	i
𑖱	i
𑖲	u
𑖳	u
𑖴	r
𑖵	r
𑖸	e
𑖹	ai
𑖺	o
𑖻	au
# Various signs
𑖼	m
𑖽	m
𑖾	h
𑖿	
𑗀	'
# Head mark
𑗁	*
# Punctuation
𑗂	,
𑗃	.
𑗄	-
𑗅	-
# Repetition marks
𑗆	-
𑗇	-
𑗈	-
# Terminal mark
𑗉	#
# Section marks
# https://unicode.org/wg2/docs/n4336.pdf
𑗊	*
𑗋	*
𑗌	*
𑗍	*
𑗎	*
𑗏	*
𑗐	*
𑗑	*
𑗒	*
𑗓	*
𑗔	*
𑗕	*
𑗖	*
𑗗	*
# Alternate letters
# https://unicode.org/wg2/docs/n4407.pdf
𑗘	𑖂
𑗙	𑖂
𑗚	𑖃
𑗛	𑖄
# Alternate vowel signs
# https://unicode.org/wg2/docs/n4407.pdf
𑗜	𑖲
𑗝	𑖳
