# https://unicode.org/charts/PDF/U11000.pdf
#
# Various signs
𑀀	m
𑀁	m
𑀂	h
𑀃	h
𑀄	h
# Independent vowels
𑀅	a
𑀆	a
𑀇	i
𑀈	i
𑀉	u
𑀊	u
𑀋	r
𑀌	r
𑀍	l
𑀎	l
𑀏	e
𑀐	ai
𑀑	o
𑀒	au
# Consonants
𑀓	k
𑀔	kh
𑀕	g
𑀖	gh
𑀗	n
𑀘	c
𑀙	ch
𑀚	j
𑀛	jh
𑀜	n
𑀝	t
𑀞	th
𑀟	d
𑀠	dh
𑀡	n
𑀢	t
𑀣	th
𑀤	d
𑀥	dh
𑀦	n
𑀧	p
𑀨	ph
𑀩	b
𑀪	bh
𑀫	m
𑀬	y
𑀭	r
𑀮	l
𑀯	v
𑀰	s
𑀱	s
𑀲	s
𑀳	h
𑀴	l
𑀵	l
𑀶	r
𑀷	n
# Dependent vowel signs
𑀸	a
𑀹	a
𑀺	i
𑀻	i
𑀼	u
𑀽	u
𑀾	r
𑀿	r
𑁀	l
𑁁	l
𑁂	e
𑁃	ai
𑁄	o
𑁅	au
# Virama
𑁆	
# Punctuation
𑁇	,
𑁈	.
𑁉	.
𑁊	:
𑁋	-
𑁌	+
𑁍	*
# Virama
𑁰	
# Independent vowels
𑁱	e
𑁲	o
# Dependent vowel signs
𑁳	e
𑁴	o
# Consonant
𑁵	l
# Number joiner
# https://unicode.org/wg2/docs/n4166.pdf
𑁿	*
