# iso 15919
ँ	m
ं	m
ः	h
अ	a
आ	a
इ	i
ई	i
उ	u
ऊ	u
ऋ	r
ऌ	l
ऍ	e
ऎ	e
ए	e
ऐ	ai
ऑ	o
ऒ	o
ओ	o
औ	au
क	k
ख	kh
ग	g
घ	gh
ङ	n
च	c
छ	ch
ज	j
झ	jh
ञ	n
ट	t
ठ	th
ड	d
ढ	dh
ण	n
त	t
थ	th
द	d
ध	dh
न	n
ऩ	n
प	p
फ	ph
ब	b
भ	bh
म	m
य	y
र	r
ऱ	r
ल	l
ळ	l
ऴ	l
व	v
श	s
ष	s
स	s
ह	h
ऽ	'
ा	a
ि	i
ी	i
ु	u
ू	u
ृ	r
ॄ	r
ॅ	e
े	e
ै	ai
ॉ	o
ो	o
ौ	au
क़	q
ख़	kh
ग़	g
ज़	z
ड़	r
ढ़	rh
फ़	f
य़	y
ॠ	r
ॡ	l
ॢ	l
ॣ	l
# other
ऀ	m
ऄ	a
ऺ	o
ऻ	o
़	'
ॆ	e
ॊ	o
्	
ॎ	e
ॏ	a
ॐ	Om
॑	
॒	
॓	
॔	
ॕ	e
ॖ	u
ॗ	u
।	,
॥	.
॰	.
ॱ	'
ॲ	a
ॳ	o
ॴ	o
ॵ	a
ॶ	u
ॷ	u
ॸ	d
ॹ	zh
ॺ	y
ॻ	g
ॼ	j
ॽ	'
ॾ	d
ॿ	b
꣠	0
꣡	1
꣢	2
꣣	3
꣤	4
꣥	5
꣦	6
꣧	7
꣨	8
꣩	9
꣪	a
꣫	u
꣬	k
꣭	n
꣮	p
꣯	r
꣰	v
꣱	'
ꣲ	m
ꣳ	m
ꣴ	mm
ꣵ	m2
ꣶ	m3
ꣷ	m'
꣸	-
꣹	-
꣺	^
ꣻ	~
꣼	*
ꣽ	Om
ꣾ	a
ꣿ	a
# Devanagari Extended-A
# https://unicode.org/charts/PDF/U11B00.pdf
# https://unicode.org/L2/L2021/21102-devanagari-bhale-mindu.pdf
## Head marks
𑬀	#
𑬁	#
## Auspicious signs
𑬂	5
𑬃	6
𑬄	8
𑬅	9
𑬆	5
𑬇	9
𑬈	9
𑬉	0
