# Symbols for Legacy Computing
# https://unicode.org/charts/PDF/U1FB00.pdf
## Block mosaic terminal graphic characters
🬀	#
🬁	#
🬂	#
🬃	#
🬄	#
🬅	#
🬆	#
🬇	#
🬈	#
🬉	#
🬊	#
🬋	#
🬌	#
🬍	#
🬎	#
🬏	#
🬐	#
🬑	#
🬒	#
🬓	#
🬔	#
🬕	#
🬖	#
🬗	#
🬘	#
🬙	#
🬚	#
🬛	#
🬜	#
🬝	#
🬞	#
🬟	#
🬠	#
🬡	#
🬢	#
🬣	#
🬤	#
🬥	#
🬦	#
🬧	#
🬨	#
🬩	#
🬪	#
🬫	#
🬬	#
🬭	#
🬮	#
🬯	#
🬰	#
🬱	#
🬲	#
🬳	#
🬴	#
🬵	#
🬶	#
🬷	#
🬸	#
🬹	#
🬺	#
🬻	#
## Smooth mosaic terminal graphic characters
🬼	#
🬽	#
🬾	#
🬿	#
🭀	#
🭁	#
🭂	#
🭃	#
🭄	#
🭅	#
🭆	#
🭇	#
🭈	#
🭉	#
🭊	#
🭋	#
🭌	#
🭍	#
🭎	#
🭏	#
🭐	#
🭑	#
🭒	#
🭓	#
🭔	#
🭕	#
🭖	#
🭗	#
🭘	#
🭙	#
🭚	#
🭛	#
🭜	#
🭝	#
🭞	#
🭟	#
🭠	#
🭡	#
🭢	#
🭣	#
🭤	#
🭥	#
🭦	#
🭧	#
🭨	#
🭩	#
🭪	#
🭫	#
🭬	#
🭭	#
🭮	#
🭯	#
## Block elements
🭰	|
🭱	|
🭲	|
🭳	|
🭴	|
🭵	|
🭶	-
🭷	-
🭸	-
🭹	-
🭺	-
🭻	-
🭼	#
🭽	#
🭾	#
🭿	#
🮀	#
## Window title bar
🮁	#
## Block elements
🮂	#
🮃	#
🮄	#
🮅	#
🮆	#
🮇	#
🮈	#
🮉	#
🮊	#
🮋	#
## Rectangular shade characters
🮌	#
🮍	#
🮎	#
🮏	#
🮐	#
🮑	#
🮒	#
🮔	#
## Fill characters
🮕	#
🮖	#
🮗	#
## Diagonal fill characters
🮘	#
🮙	#
## Smooth mosaic terminal graphic characters
🮚	X
🮛	X
## Triangular shade characters
🮜	/
🮝	\
🮞	/
🮟	\
## Character cell diagonals
🮠	X
🮡	X
🮢	X
🮣	X
🮤	X
🮥	X
🮦	X
🮧	X
🮨	X
🮩	X
🮪	X
🮫	X
🮬	X
🮭	X
🮮	X
## Light solid line with stroke
🮯	-
## Terminal graphic characters
🮰	^
🮱	v
🮲	>
🮳	<
## Arrows
🮴	<
🮵	<
🮶	>
🮷	v
🮸	^
## Terminal graphic characters
🮹	[
🮺	]
🮻	#
🮼	]
## Negative terminal graphic characters
🮽	#
🮾	#
🮿	#
## Terminal graphic characters
🯀	X
🯁	>
🯂	>
🯃	>
🯄	?
🯅	+
🯆	+
🯇	+
🯈	+
🯉	+
🯊	^
## Terminal graphic characters
🯋	X
🯌	[
🯍	^
## Block elements
🯎	#
🯏	#
## Character cell diagonals
🯐	X
🯑	X
🯒	X
🯓	X
🯔	X
🯕	X
🯖	X
🯗	X
🯘	X
🯙	X
🯚	X
🯛	X
🯜	X
🯝	X
🯞	X
🯟	X
## Geometric shapes
🯠	#
🯡	#
