# https://unicode.org/charts/PDF/U1B00.pdf
# https://unicode.org/wg2/docs/n2908.pdf
# ala-lc 2012
# https://unicode.org/L2/L2019/19259-balinese-archaic-jnya.pdf
# https://unicode.org/L2/L2019/19318-balinese-punct.pdf
# https://unicode.org/L2/L2022/22059-balinese-punct.pdf
#
# Various signs
ᬀ	m
ᬁ	ng
ᬂ	ng
ᬃ	r
ᬄ	h
# Independent vowels
ᬅ	a
ᬆ	a
ᬇ	i
ᬈ	i
ᬉ	u
ᬊ	u
ᬋ	re
ᬌ	ro
ᬍ	le
ᬎ	lo
ᬏ	e
ᬐ	ai
ᬑ	o
ᬒ	au
# Consonants
ᬓ	k
ᬔ	kh
ᬕ	g
ᬖ	gh
ᬗ	ng
ᬘ	c
ᬙ	ch
ᬚ	j
ᬛ	jh
ᬜ	ny
ᬝ	t
ᬞ	th
ᬟ	d
ᬠ	dh
ᬡ	n
ᬢ	t
ᬣ	th
ᬤ	d
ᬥ	dh
ᬦ	n
ᬧ	p
ᬨ	ph
ᬩ	b
ᬪ	bh
ᬫ	m
ᬬ	y
ᬭ	r
ᬮ	l
ᬯ	w
ᬰ	s
ᬱ	s
ᬲ	s
ᬳ	h
# Sign
᬴	'
# Dependent vowel signs
ᬵ	a
ᬶ	i
ᬷ	i
ᬸ	u
ᬹ	u
ᬺ	re
ᬻ	ro
ᬼ	le
ᬽ	lo
ᬾ	e
ᬿ	ai
ᭀ	o
ᭁ	au
ᭂ	e
ᭃ	o
# Sign
᭄	
# Additional consonants
ᭅ	q
ᭆ	x
ᭇ	ts
ᭈ	f
ᭉ	v
ᭊ	z
ᭋ	sy
ᭌ	jny
# Punctuation
᭎	᭞
᭏	᭟
# Punctuation
᭚	*
᭛	@
᭜	.
᭝	:
᭞	,
᭟	.
᭠	-
# Musical symbols for notes
᭡	ᬵ
᭢	ᬾ
᭣	ᬸ
᭤	ᬂ
᭥	ᬃ
᭦	ᬶ
᭧	ᭂ
᭨	ᬹ
᭩	ᬐ
᭪	ᬄ
# Diacritical marks for musical symbols
᭫	
᭬	
᭭	
᭮	
᭯	
᭰	
᭱	
᭲	
᭳	
# Musical symbols
᭴	^
᭵	^
᭶	^
᭷	^
᭸	^
᭹	^
᭺	^
᭻	^
᭼	^
# Punctuation
᭽	**
᭾	@@
᭿	~
