☀	*
#☁	_
#☂	_
#☃	_
#☄	_
★	*
☆	*
#☇	_
#☈	_
#☉	_
#☊	_
#☋	_
#☌	_
#☍	_
#
☎	@
☏	@
☐	#
☑	v
☒	x
☓	X
#
#☔	_
#
#☕	_
#
☖	#
☗	#
#
☘	*
☙	*
#
☚	<
☛	>
☜	<
☝	^
☞	>
☟	v
#
☠	*
☡	Z
☢	*
☣	*
#
☤	+
☥	+
#
☦	+
☧	ChR.
☨	+
☩	+
☪	*
☫	*
☬	*
☭	*
☮	*
☯	*
# https://www.unicode.org/charts/PDF/U2600.pdf
☰	Qian
☱	Dui
☲	Li
☳	Zhen
☴	Xun
☵	Kan
☶	Gen
☷	Kun
#
☸	*
#
☹	:(
☺	:)
☻	:)
#
☼	*
#
☽	)
☾	(
☿	*
♀	*
♁	*
♂	*
♃	*
♄	*
♅	*
♆	*
♇	*
#
#♈	_
#♉	_
#♊	_
#♋	_
#♌	_
#♍	_
#♎	_
#♏	_
#♐	_
#♑	_
#♒	_
#♓	_
#
#♠	_
#♡	_
#♢	_
#♣	_
#♤	_
#♥	_
#♦	_
#♧	_
#
#♨	_
#
#♩	_
#♪	_
#♫	_
#♬	_
♭	b
♮	#
♯	#
#
♰	+
♱	+
#
♲	*
♳	1
♴	2
♵	3
♶	4
♷	5
♸	6
♹	7
♺	*
♻	*
♼	*
♽	*
#
#♾	_
#♿	_
#
⚀	1
⚁	2
⚂	3
⚃	4
⚄	5
⚅	6
#
⚆	*
⚇	*
⚈	*
⚉	*
# https://unicode.org/wg2/docs/n2363.pdf
⚊	YangYao
⚋	YinYao
⚌	TaiYang
⚍	ShaoYin
⚎	ShaoYang
⚏	TaiYin
#
#⚐	_
#⚑	_
⚒	+
⚓	+
⚔	+
⚕	+
#⚖	_
#⚗	_
#⚘	_
⚙	*
#⚚	_
⚛	*
#
⚜	*
⚝	*
#
⚞	>
⚟	<
#
⚠	!
#⚡	_
#
#⚢	_
#⚣	_
#⚤	_
#⚥	_
#⚦	_
#⚧	_
#⚨	_
#⚩	_
#
⚪	o
⚫	o
⚬	o
#
#⚭	_
#⚮	_
#⚯	_
#⚰	_
#⚱	_
#
#⚲	_
#
⚳	*
⚴	*
⚵	*
⚶	*
⚷	*
⚸	*
#
⚹	*
⚺	v
⚻	^
#⚼	_
#
#⚽	_
#⚾	_
#
#⚿	_
#
#⛀	_
#⛁	_
#⛂	_
#⛃	_
#
#⛄	_
#⛅	_
⛆	#
#⛇	_
#⛈	_
#
⛉	#
⛊	#
⛋	#
#
⛌	X
#⛍	_
#
#⛎	_
#
#⛏	_
#⛐	_
⛑	+
#⛒	_
#⛓	_
#⛔	_
#⛕	_
#⛖	_
#⛗	_
#⛘	_
#⛙	_
⛚	#
#⛛	_
#⛜	_
⛝	X
⛞	\
#⛟	_
#⛠	_
#⛡	_
#
#⛢	_
#
#⛣	_
#
⛤	*
⛥	*
⛦	*
⛧	*
#
⛨	+
⛩	#
#⛪	_
#⛫	_
#⛬	_
⛭	*
⛮	*
⛯	*
#⛰	_
#⛱	_
#⛲	_
#⛳	_
#⛴	_
#⛵	_
#⛶	_
#⛷	_
#⛸	_
#⛹	_
#⛺	_
#⛻	_
#⛼	_
#⛽	_
#⛾	_
#⛿	_
