# CJK Symbols and Punctuation
　	 
、	,
。	.
〃	"
〄	(JIS)
々	-
〆	/
〇	0
〈	<
〉	>
《	<<
》	>>
「	[
」	]
『	[
』	]
【	[(
】	)]
〒	@
〓	=
〔	[
〕	]
〖	[(
〗	)]
〘	[
〙	]
〚	[
〛	]
〜	~
〝	"
〞	"
〟	"
〠	@
〪	
〫	
〬	
〭	
〮	
〯	
〰	~
〷	XX
〸	10
〹	20
〺	30
〻	-
〼	Masu
〽	~
〾	
〿	
# Enclosed CJK Letters and Months
㉿	(K)
㋿	Reiwa
# CJK Compatibility
㌀	apartment
㌁	alpha
㌂	ampere
㌃	are
㌄	inning
㌅	inch
㌆	won
㌇	escudo
㌈	acre
㌉	ounce
㌊	ohm
㌋	kai-ri
㌌	carat
㌍	calorie
㌎	gallon
㌏	gamma
㌐	giga
㌑	guinea
㌒	curie
㌓	guilder
㌔	kilo
㌕	kilogram
㌖	kilometer
㌗	kilowatt
㌘	gram
㌙	gram ton
㌚	cruzeiro
㌛	krone
㌜	case
㌝	koruna
㌞	co-op
㌟	cycle
㌠	centime
㌡	shilling
㌢	centi
㌣	cent
㌤	dozen
㌥	deci
㌦	dollar
㌧	ton
㌨	nano
㌩	knot
㌪	heights
㌫	percent
㌬	parts
㌭	barrel
㌮	piaster
㌯	picul
㌰	pico
㌱	building
㌲	farad
㌳	feet
㌴	bushel
㌵	franc
㌶	hectare
㌷	peso
㌸	pfennig
㌹	hertz
㌺	pence
㌻	page
㌼	beta
㌽	point
㌾	volt
㌿	hon
㍀	pound
㍁	hall
㍂	horn
㍃	micro
㍄	mile
㍅	mach
㍆	mark
㍇	mansion
㍈	micron
㍉	milli
㍊	millibar
㍋	mega
㍌	megaton
㍍	meter
㍎	yard
㍏	yard
㍐	yuan
㍑	liter
㍒	lira
㍓	rupee
㍔	ruble
㍕	rem
㍖	roentgen
㍗	watt
#
㍻	Heisei
㍼	Showa
㍽	Taisho
㍾	Meiji
#
㍿	Inc.
#
㎂	uA
㎌	uF
㎍	ug
㎕	ul
㎛	um
㎲	us
㎶	uV
㎼	uW
㏀	kOhm
㏁	MOhm
# CJK Compatibility Forms
﹅	'
﹆	'
#
﹉	-
﹊	-
﹋	-
﹌	-
